epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,89.2733,0.7719,0.86882,0.66753,1.13334,0.93155,0.87351,0.92998,0.8094,0.93379,0.87529,0.93559,0.7225,0.66536,0.79495,0.61624,0.95874,0.000891125,0.000891125,0.000891125
31,92.3188,0.72715,0.84044,0.65509,1.13232,0.92492,0.88129,0.92681,0.81606,0.91481,0.90262,0.93545,0.73671,0.56324,0.71581,0.53794,0.86119,0.00087875,0.00087875,0.00087875
32,95.2336,0.74108,0.90292,0.64597,1.11074,0.9348,0.85697,0.92298,0.80893,0.92743,0.87805,0.93458,0.74181,0.55566,0.70323,0.55398,0.8442,0.000866375,0.000866375,0.000866375
33,98.1169,0.68949,0.72379,0.60944,1.09302,0.96074,0.86181,0.92814,0.81543,0.93949,0.87927,0.93428,0.76634,0.56495,0.66277,0.52491,0.85794,0.000854,0.000854,0.000854
34,100.976,0.70827,0.82024,0.61565,1.11417,0.92561,0.85693,0.91377,0.8048,0.91464,0.8816,0.92399,0.71803,0.54984,0.69069,0.54609,0.87016,0.000841625,0.000841625,0.000841625
35,103.813,0.70596,0.83871,0.59805,1.11953,0.8914,0.86867,0.90136,0.79376,0.89191,0.88218,0.9117,0.69798,0.54878,0.77867,0.60137,0.85681,0.00082925,0.00082925,0.00082925
36,106.82,0.69694,0.76936,0.59784,1.10084,0.91715,0.89372,0.92655,0.83725,0.92425,0.90866,0.93635,0.77702,0.53173,0.6319,0.57634,0.85583,0.000816875,0.000816875,0.000816875
37,109.778,0.6824,0.69847,0.55471,1.0838,0.92395,0.89828,0.93386,0.83006,0.92824,0.90181,0.93821,0.74504,0.56406,0.6679,0.57209,0.88864,0.0008045,0.0008045,0.0008045
38,112.729,0.70109,0.74084,0.58884,1.10878,0.88296,0.90993,0.91884,0.78868,0.89066,0.91735,0.92559,0.71984,0.62031,0.66348,0.673,0.92623,0.000792125,0.000792125,0.000792125
39,115.643,0.69967,0.75292,0.57644,1.10088,0.94086,0.89102,0.92435,0.83214,0.94067,0.89534,0.93206,0.73901,0.53104,0.66175,0.50599,0.86353,0.00077975,0.00077975,0.00077975
40,118.69,0.67182,0.72391,0.57576,1.09504,0.95654,0.89876,0.92676,0.82144,0.96046,0.89325,0.93657,0.71949,0.57826,0.67883,0.52624,0.87606,0.000767375,0.000767375,0.000767375
