Image Index,Preprocess Time (ms),Inference Time (ms),Postprocess Time (ms),Filtering Time (ms),Line Count,Barrel Count,Traffic Count,Grass Count
0,1.4394329919014126,7.568213011836633,60.532400995725766,4.046201705932617,2,1,0,3
1,0.8180839940905571,8.650959993246943,1.1734190047718585,3.465414047241211,2,1,0,3
2,0.8107799803838134,8.454927010461688,1.2730279995594174,3.789186477661133,2,1,0,3
3,1.064582000253722,8.654535980895162,1.668849989073351,3.5941600799560547,2,1,0,3
4,1.1111499916296452,8.62108200090006,1.123324007494375,3.8781166076660156,2,1,0,3
5,0.8056199876591563,8.620642009191215,1.1186650081072003,3.651857376098633,2,1,0,3
6,0.8524589939042926,8.37970498832874,1.2601139897014946,3.8213729858398438,2,1,0,3
7,0.7072430162224919,9.004901978187263,1.679048000369221,3.690481185913086,2,1,0,3
8,1.0634500067681074,8.570356003474444,1.1400459916330874,3.777742385864258,2,1,0,3
9,0.8388830174226314,8.843255025567487,1.2465969775803387,3.7872791290283203,2,1,0,3
10,1.0368899966124445,8.767040009843186,1.1273609998170286,3.578662872314453,2,1,0,3
11,0.8237340080086142,8.786355989286676,1.1431809980422258,3.5941600799560547,2,1,0,3
12,1.0870149999391288,8.795523986918852,1.1392229935154319,3.8633346557617188,2,1,0,3
13,1.0525590041652322,8.64896600251086,1.3597130018752068,3.7126541137695312,2,1,0,3
14,0.8587609918322414,8.662381005706266,1.1486620060168207,3.575563430786133,2,1,0,3
15,0.8202079916372895,8.02625299547799,1.347318000625819,3.671407699584961,2,1,0,3
16,0.7251469942275435,7.920161995571107,1.8224109953735024,3.5140514373779297,2,1,0,3
17,1.0693109943531454,8.75966702005826,1.5852010110393167,3.625154495239258,2,1,0,3
18,0.836949999211356,8.77860200125724,1.1069019965361804,3.6182403564453125,2,1,0,3
19,1.1026739957742393,8.82813599309884,1.1980260023847222,3.6687850952148438,2,1,0,3
20,0.790502002928406,8.398641017265618,1.2615259911399335,3.8671493530273438,2,1,0,3
21,0.7138150103855878,8.605934010120109,1.1501139961183071,3.856658935546875,2,1,0,3
22,0.8627880015410483,8.318828011397272,1.1814030003733933,3.8537979125976562,2,1,0,3
23,0.8080340048763901,8.579814020777121,1.1846300039906055,3.657102584838867,2,1,0,3
24,0.7963120006024837,8.747662999667227,1.112923986511305,3.7724971771240234,2,1,0,3
25,0.7119319925550371,8.880305016646162,1.5647709951736033,3.720998764038086,2,1,0,3
26,0.8446640276815742,8.268503996077925,1.1541520070750266,3.7157535552978516,2,1,0,3
27,0.7969340076670051,8.743176003918052,1.1765050003305078,3.6246776580810547,2,1,0,3
28,1.069621997885406,8.828657999401912,1.1594920069910586,3.7415027618408203,2,1,0,3
29,0.8697310113348067,9.262672014301643,1.3458660105243325,3.854990005493164,2,1,0,3
30,0.8309780096169561,8.306706004077569,1.2548630184028298,3.7183761596679688,2,1,0,3
31,0.8164610189851373,8.662821986945346,1.1224519985262305,4.087924957275391,2,1,0,3
32,0.8189049840439111,8.03016999270767,1.1408659920562059,3.7078857421875,2,1,0,3
33,1.3100380019750446,8.282730006612837,1.1619769793469459,4.008054733276367,2,1,0,3
34,1.0221409902442247,8.249497012002394,1.179771003080532,3.6690235137939453,2,1,0,3
35,1.0319699940737337,8.205433987313882,1.167187001556158,3.7419795989990234,2,1,0,3
36,1.0736990079749376,7.983582007000223,1.5803310088813305,3.894805908203125,2,1,0,3
37,1.1034659983124584,8.098821010207757,1.1819550127256662,3.7686824798583984,2,1,0,3
38,0.8104089938569814,8.210371976019815,1.3817250146530569,3.802776336669922,2,1,0,3
39,0.8315389859490097,8.437103999312967,1.1745310039259493,3.7539005279541016,2,1,0,3
40,1.0402059997431934,8.24005898903124,1.1874659976456314,3.756999969482422,2,1,0,3
41,0.828133022878319,8.21355899097398,1.174840988824144,3.6733150482177734,2,1,0,3
42,0.8760739874560386,8.120462007354945,1.2617160100489855,3.6690235137939453,2,1,0,3
43,0.8238249865826219,8.495234011206776,1.1937780072912574,3.7593841552734375,2,1,0,3
44,1.146327005699277,8.697529003256932,1.9097370095551014,3.676176071166992,2,1,0,3
45,0.9056300041265786,8.418318000622094,1.1898200027644634,3.8111209869384766,2,1,0,3
46,0.8399350044783205,8.130781992804259,1.250836008694023,3.904104232788086,2,1,0,3
47,0.7880470075178891,8.140218997141346,1.1681379983201623,3.752470016479492,2,1,0,3
48,0.84438401972875,8.473463007248938,1.3586700079031289,4.077434539794922,2,1,0,3
49,0.901141989743337,9.237602993380278,1.1941270204260945,4.065752029418945,2,1,0,3
50,0.8301259949803352,8.307637006510049,1.432960998499766,3.790616989135742,2,1,0,3
51,1.104257011320442,7.865908002713695,1.3696110108867288,3.667116165161133,2,1,0,3
52,0.8606839983258396,8.457221003482118,1.1718060122802854,3.6842823028564453,2,1,0,3
53,0.8477999945171177,8.110081980703399,1.1880359961651266,3.7996768951416016,2,1,0,3
54,1.0476190072949976,8.220921998145059,1.1898789962287992,3.8247108459472656,2,1,0,3
55,0.9367690072394907,8.446830994216725,1.1591009970288724,3.644704818725586,2,1,0,3
56,0.9737889922689646,8.217386988690123,1.1754719889722764,3.813028335571289,2,1,0,3
57,0.8275220170617104,8.554025989724323,1.173829019535333,3.765106201171875,2,1,0,3
58,0.8473790076095611,8.090354996966198,1.1802810186054558,3.7801265716552734,2,1,0,3
59,0.9206490067299455,8.24152200948447,1.2663750094361603,3.6504268646240234,2,1,0,3
60,1.01645098766312,8.22164400597103,1.1836579942610115,3.8313865661621094,2,1,0,3
61,0.8056499937083572,8.41973998467438,1.227420987561345,4.14276123046875,2,1,0,3
62,1.0454559815116227,9.205592999933288,1.1830069997813553,4.026889801025391,2,1,0,3
63,1.1026340071111917,8.047382987570018,1.204628002597019,3.660440444946289,2,1,0,3
64,1.157548016635701,8.26639900333248,1.306260994169861,3.949880599975586,2,1,0,3
65,0.8496039954479784,8.023347007110715,1.9261279958300292,3.793478012084961,2,1,0,3
66,0.8469280146528035,8.464315003948286,1.2052299862261862,3.7734508514404297,2,1,0,3
67,0.8203579927794635,8.318779000546783,1.2929649965371937,3.8373470306396484,2,1,0,3
68,0.8150280045811087,8.247944002505392,1.193856995087117,3.84521484375,2,1,0,3
69,0.9653639863245189,8.160978992236778,1.1967830068897456,3.7763118743896484,2,1,0,3
70,0.8229230006691068,8.639708976261318,1.7216289998032153,3.838777542114258,2,1,0,3
71,0.7287650078069419,8.703289000550285,1.177717000246048,3.6056041717529297,2,1,0,3
72,0.8090869814623147,8.705734013346955,1.1846300039906055,3.9606094360351562,2,1,0,3
73,0.8144569874275476,8.277740009361878,1.3141559902578592,3.580331802368164,2,1,0,3
74,0.8510859915986657,8.745749975787476,1.1824859830085188,3.8101673126220703,2,1,0,3
75,1.039313996443525,9.258303005481139,1.6830959939397871,3.756999969482422,2,1,0,3
76,0.8447139989584684,8.725621999474242,1.219827012391761,3.881216049194336,2,1,0,3
